A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Ball game	ᎠᏁᏣ	[aneːtsa] (stickball) /rrd/
Ball game	ᎠᏁᏦᏗ	[aneːtsoːdi] (stickball) /rrd/
Ball player	ᎠᏁᏦᎥᏍᎩ	[aneːtsoʔvhsgi] /rrd/
Ball sticks	ᏗᎳᏍᎦᎵᏗ	[diːhlsgaːhldi] /rrd/
Ball-hooting	ᎠᏳᏲᎰᏍᎦ	[aːyuːyohohsga] /rrd/
Ball-hooting	ᏕᎦᏳᏲᎰᎾᏗᎭ	[deːgayuːyoːhoːhndiha] /rrd/
Ballot	ᎪᏪᎵ ᏧᏍᏗ	[goːhweːli tsuːsdi] /rrd/
Balsam poplar	ᎾᎨᎢ	[nageʔi] /rrd/
Bandaging	ᎠᎸᎢᎭ	[ahlv́ːiha] /rrd/
Banjo	ᏗᏴᎩᏍᏗ	[diːhyvːgisdi] /rrd/
Bank swallow	ᏦᏯᎦ	[tsoːyaga] /rrd/
Bankrupt	ᏚᎵᏍᏆᎵᏒᎯᎠ	[duːlsgwalísvhiːa] /rrd/
Baptist	ᏗᏓᏬᏍᎩ	[didawoːsgi] /rrd/
Barber	ᏗᏓᏍᏙᏰᏍᎩ	[didasdoyesgi] /rrd/
Bark of a tree	ᎤᏯᎷᎦ	[uhyaluːga] /rrd/
Barking	ᏓᏑᏫᏍᎦ	[daːhsuhwísga] /rrd/
Barn swallow	ᏧᏗᏆᏅᏥ	[tsuːdigwaːntsi] /rrd/
Barred owl	ᎤᎫᎫ	[uguːku] /rrd/
Barrel	ᏒᏙᏂ	[svːdoʔni] /rrd/
Bashful	ᎤᏕᎰᏌᏘ	[uːdehohsati] /rrd/
Basket	ᏔᎷᏣ	[taluːtsa] /rrd/
Bat	ᏣᎹᎭ	[tsaːmaha] /rrd/
Bathing	ᎠᏓᏬᎠ	[adawóːʔa] /rrd/
Batter	ᎠᏑᎨᎸᎯ	[ahsuːgeːlvhi] /rrd/
Battery	ᎠᎾᎦᎵᏍᎩ	[anaʔgalihsgi] /rrd/
Beach	ᎠᎹ ᎠᏍᏛᎢ	[am ahsdvːʔi] /rrd/
Bean bread	ᏚᏯ ᎠᏑᏱ ᎦᏚ	[tuːya asuːyi gaːdu] /rrd/
Bean salad	ᏧᎯᏥᏆ	[tsuːhiːtsgwa] (food) /rrd/
Beans	ᏚᏯ	[tuya] /rrd/
Bear	ᏲᎾ	[yoːna] /rrd/
Bear grass	ᏔᏆᎵ	[taːgwaːli] /rrd/
Bear huckleberry	ᎡᎶᏘᏍᎩ	[eloːtisgi] /rrd/
Bear nettle	ᏙᎴᏓ	[toːleːda] /rrd/
Bearing false witness	ᎠᏥᎪᎥᏍᎦ	[atshsgoʔvhsga] /rrd/
Beating him in a game	ᎠᏔᎶᏍᎦ	[aʔtalohsga] /rrd/
Beating him up	ᎦᎵᎥᏂᎭ	[galiʔvːniːha] /rrd/
Beating it	ᎦᏅᏆᎶᎠ	[ganvːgwalóʔa] /rrd/
Beaver	ᏙᏯ	[doːya] /rrd/
Because of	ᏂᎦᎵᏍᏗᎭ	[nigaːlsdiha] /rrd/
Bed	ᎦᏂᏏ	[ganisi] /rrd/
Bed clothes	ᏗᏅᏬᏍᏙᏗ	[diːhnvwóːsdoːhdi] /rrd/
Bed cover	ᎠᎵᏇᏅᏗ	[algwehnvhdi] /rrd/
Bee	ᏩᏚᎵᏏ	[waːduːliːsi] /rrd/
Beech	ᎫᏏ	[kuːsi] /rrd/
Beef	ᏩᎧ ᎭᏫᏯ	[waka hawiːya] /rrd/
Beer	ᎤᏬᎩᎵ	[uwoːgili] /rrd/
Beet, red	ᎩᎦᎨ ᎦᎳᏍᎩ	[giːgage gaːhlaːsgi] /rrd/
Before	ᎠᎬᏱᏗᏣ	[agvːyidiːtsa] /rrd/
Begging him	ᎠᏍᏗᏰᏗᎭ	[ahsdiːyeʔdiha] /rrd/
Beginning it	ᎠᎴᏂᎠ	[aleːniʔa] /rrd/
Beginning with	ᎠᎴᏅᏗᎭ	[alenvhdiha] /rrd/
Behind	ᎣᏂᏗᏣ	[ohnidiːtsa] /rrd/
Being bad	ᎤᏲᎢᏯ	[uːyóʔiːya] /rrd/
Being born	ᎠᏕᎲᏍᎦ	[adehv́hsga] /rrd/
Being carried by it	ᎦᎾᏨᏍᏗᎭ	[gantsvːsdiːha] (a liquid) /rrd/
Being carried by it	ᎦᏅᏍᏗᎭ	[ganvsdiːha] (something alive) or (something flexible) /rrd/
Being carried by it	ᎦᏅᏍᏗᎭ	[ganvsdiha] (something long) /rrd/
Being dripped on	ᎤᏍᏚᏥᎠ	[uːhsduːtsiʔa] /rrd/
Being good	ᎣᏍᏓ	[osda] /rrd/
Being hanged	ᎦᏓᎠ	[gadaʔa] /rrd/
Being rained on	ᎤᎦᏍᎦ	[uːgáhsga] /rrd/
Being spilled on	ᎤᏍᏚᏥᎠ	[uːhsduːtsiʔa] /rrd/
Being splashed	ᎤᏍᏚᏥᎠ	[uːhsduːtsiʔa] /rrd/
Being troublesome	ᎠᏕᏯᏙᏗᎭ	[adehytohdiha] /rrd/
Belching, burping. I	ᎤᏩᎫᎴᎠ	[uːwaːguːleʔa] /rrd/
Belching, burping. II	ᎤᏩᎫᎴᎠ	[uːwaːguːleʔga] /rrd/
Believing	ᎪᎯᏳᎲᏍᎦ	[gohíːyuhvːsga] /rrd/
Believing in	ᎤᏬᎯᏳᎭ	[uːwoːhíyuha] /rrd/
Below	ᎡᎸᏗ	[elvːdi] /rrd/
Belt	ᎠᏓᏦᏍᏗ	[adaːtsoːsdi] /rrd/
Belted kingfisher	ᏣᎶᎯ	[tsaːlohi] /rrd/
Bending it	ᎠᏴᏈᏛᎥᏍᎦ	[ayvgwidv́ːʔvhsga] /rrd/
Berry	ᎤᏓᏔᏅᎯ	[udataːnvhi] /rrd/
Beside	ᎤᎵᏗᏨ	[uhldiːtsv] /rrd/
Beta vulgaris	ᎩᎦᎨ ᎦᎳᏍᎩ	[giːgage gaːhlaːsgi] /rrd/
Betting	ᏓᎬᏩᎳᏍᎦ	[daːgvʔhwalaːsga] /rrd/
Betula nigra	ᎦᏁᏗᏍᎩ	[ganeːdísgi] /rrd/
Between	ᎠᏰᎵ	[ayehli] /rrd/
Bible	ᎪᏪᎵ ᎦᎸᏉᏗ	[goːhweʔli galvkwdi] /rrd/
Big	ᎡᏆ	[eːgwa] /rrd/
Big	ᎤᏔᎾ	[uːtana] /rrd/
Big	ᎠᏔᏃᏍᎦ	[atanóhsga] (becoming) /rrd/
Big stoat	ᏓᎶᏂᎨ ᏥᏍᏕᏥ	[daloːnige tsisdeːtsi] /rrd/
Bigger	ᏫᏥᎨᏆ	[witsiʔgégwa] /rrd/
Bigmouth bass	ᎤᏃᎧ	[uhnohga] /rrd/
Biol.  Malus spp	ᏒᎦᏛ ᎢᎾᎨ ᎠᏁᎯ	[svːgdv iːnage aːneːhi] (lit. Wild Apples) /rrd/
Bird	ᏥᏍᏆ	[tsiːsgwa] /rrd/
Bird clan	ᎠᏂᏥᏍᏆ	[aniːtsiːsgwa] /rrd/
Birdtown	ᏥᏍᏉᎯ	[tsisgwoːhi] /rrd/
Birth	ᎤᏕᏅ	[udeːnv] /rrd/
Birth mark	ᎤᏙᏪᎸᎢ	[udoːweːlvʔi] /rrd/
Birthplace	ᎤᏕᏅ	[udeːnv] /rrd/
Bison Bison	ᏴᎾᏌ	[yvnsa] /rrd/
Biting it	ᎠᏍᎦᎵᎦ	[ahsgáhlga] /rrd/
Bitter	ᎤᏴᏍᏗ	[uːhyvsdi] /rrd/
Black	ᎬᏂᎨᎢ	[gvːnigeʔi] /rrd/
Black birch	ᎦᏁᏗᏍᎩ	[ganeːdísgi] /rrd/
Black Fox	ᎢᏃᎵ	[inoːli] (Surname) /rrd/
Black gum	ᎤᏂᏆ	[uːnihgwa] /rrd/
Black huckleberry	ᎧᏩᏯ	[kaːwaya] /rrd/
Black locust	ᎧᎶᏇᏗ	[kalogweːhdi] /rrd/
Black oak	ᏗᎬᏂᎨᎢ	[digvnigeʔi] /rrd/
Black people	ᎠᏂᎬᎾᎨᎢ	[aniːgvnageʔi] /rrd/
Black rat snake	ᎦᎴᎩ	[gaʔleːgi] /rrd/
Black walnut, eastern	ᎬᏂᎨ ᏎᏘ	[gvːnige seːti] /rrd/
Black-eyed-susan	ᏐᏤᎾ	[soːtseːna] /rrd/
Blackberries	ᏄᎦᎵ	[nuːgaːhli] /rrd/
Blackburnian warbler	ᎦᏅᎩ	[ganvːgi] /rrd/
Blacksnake	ᎦᎴᎩ	[gaʔleːgi] /rrd/
Blaming him	ᎠᏚᎯᏍᏗᎭ	[aduhisdiha] /rrd/
Bleeding	ᎠᏔᏍᎩᎠ	[ahtaːsgíʔa] /rrd/
Blessing it	ᎦᎸᏉᏗᎭ	[galvːkwoːhdiha] /rrd/
Blind	ᏓᎨᏬᎦ	[daːkeːwoːga] (becoming) /rrd/
Blood	ᎩᎦ	[giːga] /rrd/
Blow gun	ᏚᏇᏍᏗ	[tuːgwesdi] /rrd/
Blowing	ᎦᏦᏔᏍᎦ	[atsóːtasga] /rrd/
Blowing on him	ᎠᏦᏖᎭ	[atsoːteha] /rrd/
Blue	ᏌᎪᏂᎨᎢ	[saːgoːnigeʔi] /rrd/
Blue clan	ᎠᏂᏌᎰᏂ	[aniːhsahoːni] /rrd/
Blue fox	ᏧᎳ ᏌᎪᏂᎨ	[tsuːla sakoːnige] /rrd/
Blue houndstongue	ᎤᏂᏍᏕᎴᏍᏗ	[unisdeleːhsdi] /rrd/
Blue jay	ᏣᏱᎦ	[tsahyga] /rrd/
Blue racer	ᎤᎦᏑᎯ	[uːgsuhi] (snake) /rrd/
Blue violet	ᏗᎾᏓᏍᏓᏍᎩ	[diːhndaːsdaːsgi] /rrd/
Blueberry	ᎧᏩᏯ	[kaːwaya] /rrd/
Bluebird	ᏣᏉᎳᏕ	[tsaːgwoːlde] /rrd/
Blunt	ᎪᏍᏗᏳᎵ	[gosdiːyuːhli] /rrd/
Boar	ᏧᎦᏅᏍᏓᎵ	[tsuːganvːsdaːhli] /rrd/
Board	ᎠᏯᏖᎾ	[ayaːteːna] /rrd/
Boasting	ᎠᏨᏆᏍᎦ	[atsv́ːhgwhsga] /rrd/
Boat	ᏥᏳ	[tsiːyu] /rrd/
Bobcat	ᎬᎮ	[kvːhe] /rrd/
Body	ᎠᏰᎸᎢ	[ahyeːlv́ːʔi] (his) /rrd/
Boiling	ᎠᎵᏥᎭ	[ahltsiha] /rrd/
Boiling it	ᎠᎵᏥᏗᎭ	[ahliːdsdiha] /rrd/
Bold, to be	ᏍᎦᏎᏅ	[sgaseːhnv] /rrd/
Bombycilla cedrorum	ᎤᏃᏴ	[uːnoːyv] /rrd/
Bonasa umbellus	ᏛᏗᏍᏗ	[tvːdisdi] /rrd/
Bone	ᎪᎳ	[koːla] (his) /rrd/
Boneset	ᎪᎳᎧᎩᏍᏗ	[koːlakagiːsdi] (plant) /rrd/
Boney	ᎪᎸᎲ	[kolvhv] /rrd/
Bonnet	ᎠᎵᏍᏚᎶᎯ	[ahlsduːlohi] /rrd/
Booger tobacco	ᏦᎳ ᎠᎦᏴᎵ	[tsoːla agayvːli] /rrd/
Book	ᎪᏪᎵ	[goːhweːli] /rrd/
Born	ᎤᏕᏅ	[udeːnv] /rrd/
Borrowing it	ᎠᏙᎵᏍᎦ	[ahtoːhlsga] /rrd/
Boss	ᎠᏍᎦᏰᎬᏍᏗ	[aːsgayeːgvːsdi] /rrd/
Both	ᎢᏧᎳ	[itsuːla] /rrd/
Bothering someone	ᎠᏕᏯᏙᏗᎭ	[adehytohdiha] /rrd/
Botrypus virginianus	ᎤᏎᎳᏘ	[uːselaːti] /rrd/
Bottle	ᎫᎫ	[guːgu] /rrd/
Bottle groud	ᎦᎸᎾ	[galvʔna] /rrd/
Bow	ᎦᎵᏣᏗ	[gaːhltsaːdi] /rrd/
Bowing	ᎠᏗᏍᏚᏍᎦ	[adíhsduhsga] /rrd/
Bowl	ᎤᏅᏪᏓ	[unvweːda] /rrd/
Box	ᎧᏁᏌ	[kaneːsa] /rrd/
Box turtle	ᏓᎦᏏ	[daːgsi] /rrd/
Boxing	ᏓᏓᏛᏂᎭ	[daːdaːdvːhniha] /rrd/
Boy	ᎠᏧᏣ	[atshuːtsa] /rrd/
Boy, teenage	ᎠᏫᎾ	[awiːna] /rrd/
Bragging	ᎠᏨᏆᏍᎦ	[atsv́ːhgwhsga] /rrd/
Braiding hair	ᎠᏍᏕᏲᏎᎭ	[asdeyohseha] /rrd/
Brains	ᎤᏅᏥᏓ	[uːnvːtsiːda] /rrd/
Brake	ᏗᎦᏅᏐᏍᏙᏗ	[diganvsosdoːhdi] (on a vehicle) /rrd/
Branch	ᎠᎹᎨᏴᎢ	[amaːgeːyvːʔi] /rrd/
Branch lettuce	ᎠᎪᏍᏚᎩᏍᏗ	[agoːsdugiːsdi] /rrd/
Branch of a tree	ᎤᏩᏂᎦᎳᏅ	[uwaːnigaːhlanv] /rrd/
Branta canadensis	ᏌᏌ	[sasa] /rrd/
Brassica oleracea	ᎤᏍᎨᏫ	[uhsgeːwi] /rrd/
Brassica rapa	ᏙᏌᎾ	[dosana] /rrd/
Bread	ᎦᏚ	[gaːdu] /rrd/
Breaking	ᎠᏲᎦ	[ayoːga] /rrd/
Breaking his bone	ᎠᏛᎳᎦ	[advːlaːga] /rrd/
Breaking it	ᎠᏍᏆᎵᏍᎦ	[ahsgwáʔlihsga] (something long) /rrd/
Breaking it	ᎦᎶᎠ	[galoʔa] (something solid) /rrd/
Breast	ᏅᏣᏛ	[nvːtshadv] /rrd/
Breathing	ᎠᏛᎵᎭ	[advːliha] /rrd/
Briar	ᎧᏄᎦᎵ	[kanuːgaːli] /rrd/
Brick	ᎠᏛᏓᎾ	[advːdaːʔna] /rrd/
Bridge	ᎠᏒᏨ	[ahsvːtsv] /rrd/
Bridging it	ᎠᏒᏣᏗᎠ	[ahsvːhtsádiʔa] /rrd/
Bridle	ᏧᏔᎾᎶ	[tsuːtanaːlo] /rrd/
Bringing it	ᎦᏁᏤᎭ	[ganhtseːha] (a liquid) /rrd/
Bringing it	ᎧᏂ	[kani] (something alive) /rrd/
Bringing it	ᎦᏃᎯᎭ	[ganhoːhiha] (something flexible) /rrd/
Bringing it	ᎠᏲᎯᎭ	[ayhohiha] (something solid) /rrd/
Broadcasting	ᎦᎳᎨᏴᏛᎥᏍᎦ	[galagéhydvʔvːsga] (seed or similar in concept) /rrd/
Broke	ᏚᎵᏍᏆᎵᏒᎯᎠ	[duːlsgwalísvhiːa] /rrd/
Broken bone	ᎤᏛᎳᎦᏍᏛᏅ	[uːdvːlagsdvnv] (his) /rrd/
Brooding	ᎠᎵᏲᏪᏗᎭ	[ahliyoːwéhdiha] /rrd/
Broom	ᎬᏃᏌᏍᏗ	[gvʔnoːsasdi] /rrd/
Broomsedge bluestem	ᎧᏁᏍᎦ ᏬᏗ	[kaneːsga woːdi] /rrd/
Brother	ᎤᏙ	[uːdoː] (female ego) (her) /rrd/
Brother	ᏗᎾᎵᏅᏥ	[dinaːhlinvːtsi] (male ego) (his) /rrd/
Brothers	ᏗᎾᎵᏅᏥ	[dinaːhlinvːtsi] (they are) /rrd/
Brothers, we are	ᏦᏍᏓᎵᏅᏥ	[tsosdaːhlinvːtsi] /rrd/
Brown	ᏬᏗᎨᎢ	[woːdigeʔi] /rrd/
Brown thrasher	ᏩᏚᏰᎳ	[waduyeːla] /rrd/
Bruise, to have a	ᎤᏲᏃᎪᏍᏓᎯ	[uːyoːnogoːsdahi] /rrd/
Bryson City, North Carolina	ᏣᎵᏍᏙᏂ	[tsaːhlsdoːni] /rrd/
Buck	ᎦᎳᎩᎾ	[galagiːna] /rrd/
Bucket	ᏔᎷᎩᏍᎩ	[taluːgiːsgi] /rrd/
Budding	ᎠᏍᎫᏓᏔᏍᎦ	[ahsguːdatahsga] /rrd/
Buffalo	ᏴᎾᏌ	[yvnsa] /rrd/
Bufu spp	ᏩᎶᏏ	[waloːsi] /rrd/
Bug	ᏥᎪᏱ	[dsgoːyi] /rrd/
Bugle	ᎦᏤᎷᎩᏍᏙᏗ	[gaːtseːhlukiːsdoːhdi] /rrd/
Building	ᎠᏓᏁᎸᎢ	[aːdaːneːlvːʔi] /rrd/
Building it	ᎠᏁᏍᎨᎭ	[ahneːsgeha] /rrd/
Bull	ᏧᎦᏅᏍᏓᎵ	[tsuːganvːsdaːhli] /rrd/
Bull dozer	ᏅᏃ ᎠᏍᏛᎪᏍᎩ	[nvːno asdvːgosgi] /rrd/
Bullet	ᎦᏂ	[gaʔni] /rrd/
Bullfrog	ᎧᏄᏄ	[kanuːnu] /rrd/
Bullsnake	ᎢᎾᏓ ᏐᎸᎨᎢ	[iːnada solvgeʔi] /rrd/
